cell_id,arm,bars,seed,primary_episodes,primary_capture,primary_crash,primary_timeout,legacy_episodes,legacy_capture,legacy_crash,legacy_timeout,raw_ledger_rows,nonprimary_tail_rows,rows_sha256,duration_s
E1_cv__70bars__seed4109,E1_cv,70,4109,2048,1776,152,120,2048,1798,148,102,3652,1604,71e71e5473bdfab55eb9def9cfe6daa97742e198ab10985cd1d759afe1b8ddc6,388
E2_obstacle_aware__70bars__seed4109,E2_obstacle_aware,70,4109,2048,1918,104,26,2048,1921,107,20,3467,1419,c2f360164041ea783ccbc5f4b7fc0561b8bcdc5b5fddec5b764d8ba81859db5e,288
H_historical__115bars__seed4109,H_historical,115,4109,2048,1848,134,66,2048,1863,131,54,3536,1488,1bd2c7963a2b109620bca6c0084ca1f4b42cfa486ac90b6a2d2fa3d85ce18dd6,368
E0_static__115bars__seed4109,E0_static,115,4109,2048,1706,122,220,2048,1746,114,188,3434,1386,29360da829011ce17554532dc1f3d546f2b0156ef83a98399031ff54902918d3,410
E1_cv__115bars__seed4109,E1_cv,115,4109,2048,1766,165,117,2048,1794,163,91,3677,1629,d49cb9c73817ef516dfd905403f1437b9494f93e5602e6c231980504363c1d70,438
E2_obstacle_aware__115bars__seed4109,E2_obstacle_aware,115,4109,2048,1873,142,33,2048,1886,141,21,3406,1358,e346267168238f5beb6a2476e1f76d6dabfaa79d1024fe9509b869873e4de208,323
H_historical__160bars__seed4109,H_historical,160,4109,2048,1776,190,82,2048,1777,200,71,3637,1589,076a654fcb188488f6053e85646f1eb07147d4eeb232d894ca162bd910eef54d,437
E0_static__160bars__seed4109,E0_static,160,4109,2048,1663,171,214,2048,1692,174,182,3713,1665,9b39395aac2a8e89a53e6d0a904804e1df23d5921c19cee03867f9dae2ad0947,497
E1_cv__160bars__seed4109,E1_cv,160,4109,2048,1734,190,124,2048,1744,194,110,3497,1449,8c86affa54a34aace3968f1e6b68f35fabe7eb619b8a0fd7cc5bc76336ae6810,470
E2_obstacle_aware__160bars__seed4109,E2_obstacle_aware,160,4109,2048,1783,212,53,2048,1807,201,40,3463,1415,26e2d5a9bc814b2deaae9453683aee167daa10b9781faa12307f1252aa9e55c5,402
H_historical__205bars__seed4109,H_historical,205,4109,2048,1694,281,73,2048,1696,290,62,3831,1783,3044ea2ce7741e4557ad7bc9f1524624957a070c1d7a6e4bd6479686368d4274,510
E0_static__205bars__seed4109,E0_static,205,4109,2048,1628,270,150,2051,1666,265,120,3431,1383,a904fd5fc83fb2d685c58792d1045281f25c5975d73f1d7d22e57dc8f819441f,498
E1_cv__205bars__seed4109,E1_cv,205,4109,2048,1593,354,101,2048,1607,349,92,3253,1205,457ba30c2f06c69485d0d7e6ae57b619e831c49bd1931895068d5716db5ebfc9,481
E2_obstacle_aware__205bars__seed4109,E2_obstacle_aware,205,4109,2048,1706,318,24,2048,1707,324,17,3551,1503,54272b341372d32ce5cec32270d709f8ab4d584b2e58a75ee47f6170e16d5e54,446
H_historical__70bars__seed4110,H_historical,70,4110,2048,1899,91,58,2049,1902,106,41,3579,1531,874a72e53d5a1631bf4c6fcd9f4e2aabfe25582f4ab04bc771769c7bf3cee132,322
E0_static__70bars__seed4110,E0_static,70,4110,2048,1738,113,197,2048,1774,120,154,4189,2141,859006d86b9828d51e698e69868d6b1dae7bc47585763cf51dfc9813ef61f3a8,423
E1_cv__70bars__seed4110,E1_cv,70,4110,2048,1772,146,130,2048,1803,141,104,3682,1634,47257153a3947715ff59cbf75f15c07a95b8af0bdce90ab639d4743f4c499868,379
E2_obstacle_aware__70bars__seed4110,E2_obstacle_aware,70,4110,2048,1911,114,23,2049,1927,108,14,3429,1381,f5ce9a8c83df20dce9c974227657608c035e2acb5011310f5f0cb17ba4a4e1d9,279
H_historical__115bars__seed4110,H_historical,115,4110,2048,1826,153,69,2048,1842,152,54,3207,1159,823adc644cc1f85b416af96e05c88667251b7855b1a236ce91ffcadf1a4f1530,334
E0_static__115bars__seed4110,E0_static,115,4110,2048,1745,119,184,2049,1775,123,151,3469,1421,51dbbc2ba33a731c523cbcacbe2ef615007dc98c478b1bda24de85a597a5e9b8,400
E1_cv__115bars__seed4110,E1_cv,115,4110,2048,1784,148,116,2048,1803,153,92,3672,1624,358b62861283c341c90a79c4979d444bf3faf55b80157a9cc59669a2d19904bb,439
E2_obstacle_aware__115bars__seed4110,E2_obstacle_aware,115,4110,2048,1876,137,35,2049,1884,139,26,3610,1562,26340f0ba55ab107ef2a012b2d652480f80a30547bb0fe7d6feb8f8f25a3064f,345
H_historical__160bars__seed4110,H_historical,160,4110,2048,1763,209,76,2048,1770,221,57,3609,1561,a2d68becbb924d04a4bf459ffd146a6efaf6aea52f8067b2f16f35af245c78e1,421
E0_static__160bars__seed4110,E0_static,160,4110,2048,1693,174,181,2048,1725,172,151,3308,1260,749a93ecc6b213001751b209565c2a51fe348b4f7b46e310bfbf90caa5b50d07,428
E1_cv__160bars__seed4110,E1_cv,160,4110,2048,1720,216,112,2048,1739,218,91,3430,1382,1c90178cee0744bc0465978e8677ff16a11e22910d4734ac9448d2a544b8af00,453
E2_obstacle_aware__160bars__seed4110,E2_obstacle_aware,160,4110,2048,1797,200,51,2049,1805,205,39,3232,1184,65a42d278dddbcb0439e6575e1cabd305f4a3c3e3cc04a5dffb5c0b7b43ae4a6,369
H_historical__205bars__seed4110,H_historical,205,4110,2048,1653,328,67,2048,1668,325,55,3376,1328,fc7b58462cd1017b41cdb42fbc2f17ab1e713e0d9cc4ddbf6de4b636bb6b32ed,446
E0_static__205bars__seed4110,E0_static,205,4110,2048,1578,306,164,2048,1618,292,138,3468,1420,2676c6863a8ab7af6d0416578f3d9495ee49861b961a7dda66f6b45493455ce7,498
E1_cv__205bars__seed4110,E1_cv,205,4110,2048,1643,324,81,2048,1656,326,66,3065,1017,e3d0dafcac56f74e6ba908b6a27f2aa6c3aeaef17d463ae0448406017051c220,446
E2_obstacle_aware__205bars__seed4110,E2_obstacle_aware,205,4110,2048,1695,329,24,2048,1685,345,18,3573,1525,d05a9b879d8edbc4b287e4ebe09524c3135838c0fdc1086e5d432260522d16b1,447
